,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
D59,5.00E+03,1.59E+05,1.56E+05,1.53E+05,1.43E+05,2.25E+05,1.79E+06,7.71E+06,2.50E+09,2.73E+09,3.16E+09,2.08E+09,3.44E+09,2.81E+09,3.00E+09
D60,5.00E+03,1.60E+05,1.72E+05,1.94E+05,1.80E+05,4.61E+05,9.50E+06,1.74E+07,3.09E+09,3.07E+09,1.98E+09,7.41E+09,2.65E+10,8.43E+09,9.48E+09
D61,5.00E+03,3.73E+06,3.35E+06,8.74E+06,2.30E+07,2.60E+09,3.47E+10,7.54E+10,5.08E+09,9.87E+09,7.66E+09,3.86E+09,6.64E+08,4.78E+08,1.21E+09
D62,5.00E+03,3.59E+06,7.37E+06,7.75E+06,9.41E+06,4.16E+08,1.99E+10,4.48E+10,5.66E+09,6.31E+09,5.36E+09,1.32E+09,2.75E+08,1.38E+08,8.90E+07
D63,5.00E+03,2.34E+06,5.64E+06,5.86E+06,6.90E+06,7.08E+06,8.49E+06,2.89E+07,1.06E+07,5.91E+06,7.28E+06,4.20E+06,4.67E+06,6.60E+06,5.47E+06
D64,5.00E+03,1.51E+07,1.93E+07,2.17E+08,9.41E+08,4.86E+10,8.82E+10,9.39E+10,5.89E+09,6.12E+08,7.67E+08,7.87E+08,3.48E+08,1.70E+08,1.01E+08
D65,5.00E+03,4.58E+06,3.89E+06,5.68E+06,1.84E+07,4.08E+08,1.48E+10,3.48E+10,7.22E+09,8.33E+09,6.26E+09,4.72E+09,5.87E+08,4.65E+08,1.49E+07
D66,5.00E+03,4.06E+06,5.41E+06,8.05E+06,6.76E+05,4.92E+07,2.40E+10,2.45E+11,6.18E+10,2.35E+11,5.75E+11,1.83E+11,8.56E+10,3.64E+10,7.95E+09
D67,5.00E+03,3.89E+06,2.64E+06,2.55E+06,1.13E+07,1.00E+08,9.52E+08,1.43E+10,3.31E+10,3.41E+10,4.08E+10,1.10E+10,3.87E+09,5.43E+09,2.74E+09
D68,5.00E+03,2.90E+06,6.43E+06,3.25E+06,2.53E+07,4.41E+07,7.93E+07,9.41E+09,2.84E+10,2.29E+10,1.46E+10,7.55E+09,2.99E+09,2.08E+09,1.92E+09
D69,5.00E+03,4.67E+06,3.43E+06,4.31E+06,1.29E+07,1.66E+08,1.98E+09,1.62E+10,3.67E+10,2.42E+10,4.41E+10,2.00E+10,1.18E+10,2.90E+09,1.35E+09
D70,5.00E+03,1.50E+06,2.98E+06,6.07E+06,1.37E+07,1.53E+08,6.46E+09,2.14E+10,5.42E+11,2.46E+11,2.35E+11,1.33E+11,1.78E+11,2.10E+09,6.94E+08
D71,5.00E+03,1.11E+07,2.72E+07,3.79E+07,9.56E+07,4.71E+09,5.14E+10,3.22E+10,4.70E+10,4.36E+10,9.48E+08,3.13E+07,1.39E+06,1.82E+10,4.51E+09
D72,5.00E+03,4.78E+06,6.31E+06,2.72E+06,1.16E+07,2.31E+08,1.07E+10,2.74E+10,6.26E+10,5.51E+10,6.63E+10,3.88E+10,2.37E+10,1.83E+10,1.48E+10
D73,5.00E+03,5.13E+06,4.08E+06,4.44E+06,5.38E+06,4.68E+07,6.43E+09,3.12E+10,6.78E+10,4.37E+10,6.89E+10,3.31E+10,3.76E+09,4.09E+09,3.98E+09
D74,5.00E+03,2.26E+06,2.31E+06,1.89E+06,1.99E+06,2.72E+07,5.07E+09,2.70E+10,4.73E+10,5.87E+10,4.45E+10,6.85E+10,3.16E+10,6.27E+09,1.81E+10
