,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
P52,5.00E+03,1.33E+06,5.57E+05,6.11E+06,1.26E+06,8.41E+06,5.20E+07,4.58E+07,1.29E+08,1.93E+08,8.86E+08,4.12E+09,7.31E+09,1.12E+10,6.83E+09
P53,5.00E+03,2.51E+05,2.39E+05,2.29E+06,4.15E+06,4.07E+08,4.99E+08,2.36E+08,1.75E+09,2.01E+09,2.54E+09,7.30E+08,1.96E+07,8.41E+06,3.26E+06
P54,5.00E+03,8.38E+06,1.66E+07,8.25E+06,1.15E+07,5.04E+07,1.17E+08,2.23E+08,4.66E+07,4.21E+07,2.62E+08,7.98E+08,2.41E+09,7.83E+08,2.07E+07
P55,5.00E+03,2.03E+05,7.32E+05,1.78E+06,2.73E+06,4.89E+07,9.75E+07,1.09E+08,1.75E+08,2.78E+08,7.27E+07,1.64E+07,2.26E+06,7.88E+06,3.91E+06
P56,5.00E+03,8.42E+07,6.03E+07,7.38E+07,7.99E+07,2.19E+08,2.97E+09,4.38E+09,2.15E+09,7.55E+09,3.44E+10,3.07E+12,8.70E+13,1.31E+13,2.57E+13
P57,5.00E+03,2.07E+06,1.11E+06,2.91E+06,1.94E+06,1.83E+07,2.26E+08,2.42E+08,2.63E+08,7.14E+08,4.51E+09,2.39E+09,1.57E+10,9.43E+09,4.86E+08
P58,5.00E+03,2.15E+06,1.08E+06,2.34E+06,1.78E+06,1.04E+07,1.01E+08,9.92E+07,1.49E+08,6.40E+08,4.65E+09,4.76E+09,7.43E+09,4.64E+09,1.78E+09
P59,5.00E+03,1.44E+06,1.26E+06,3.18E+06,2.67E+06,8.05E+06,3.88E+06,7.21E+06,1.06E+07,5.06E+07,1.97E+08,4.03E+08,9.35E+07,2.00E+07,1.41E+07
P60,5.00E+03,3.01E+06,1.26E+06,1.08E+06,2.26E+06,1.62E+07,4.75E+08,3.30E+08,2.45E+08,5.71E+08,2.90E+09,8.91E+10,5.43E+09,9.98E+08,2.14E+08
P61,5.00E+03,6.77E+03,5.35E+06,8.86E+06,7.66E+06,3.90E+07,2.26E+08,1.32E+08,5.79E+07,1.45E+08,3.04E+08,3.68E+09,9.03E+08,3.57E+08,2.56E+09
